ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
28775,0,0,0,0
27956,0,0,0,0
27826,827,8273,103,2
27508,1504,15043,352,1
28762,1434,14336,1090,12
28382,1274,12740,1020,17
28615,998,9984,188,1
28552,0,0,0,0
28723,1080,10798,1261,3
27841,0,0,0,0
28719,2108,21080,1464,11
27260,1191,11912,3061,49
28209,1182,11818,3074,16
28645,1469,14689,6995,74
28583,NA,NA,0,0
28698,1047,10466,193,1
28805,719,7188,1466,28
27314,923,9227,105,1
28374,1040,10396,1889,52
28401,1239,12390,3000,60
27371,1463,14631,1138,16
28207,1095,10952,1069,6
28519,0,0,0,0
27313,1080,10799,787,26
28345,1542,15416,1951,39
27960,1257,12570,113,0
28001,1652,16516,4684,110
27344,1340,13396,2584,37
28579,664,6642,53,0
28088,2017,20170,617,1
27948,975,9746,1220,2
27571,1504,15044,1111,1
28654,1266,12658,481,8
28725,0,0,0,0
28464,1734,17342,432,7
28214,1680,16805,6925,45
28504,1623,16226,3410,53
28405,1210,12100,4080,35
28676,1420,14199,489,5
27305,1287,12871,204,1
27592,1257,12569,2183,10
28312,1319,13187,2429,43
28731,1297,12965,1202,16
27843,1670,16702,158,2
28766,1284,12844,196,1
27016,1504,15042,253,4
28480,1337,13372,366,0
28127,1909,19093,1457,14
27831,1254,12542,450,7
28425,1389,13885,1753,26
28341,1337,13366,679,5
28092,1701,17010,6813,60
28422,1031,10309,895,13
27829,1378,13782,258,1
28532,977,9769,2527,8
27258,1214,12145,940,8
28626,816,8164,245,1
27349,1374,13744,804,6
28586,1948,19485,1642,12
28349,1891,18913,748,17
27921,945,9448,507,7
27605,1494,14944,785,19
27054,1706,17063,445,5
28227,1452,14524,8325,68
27553,2660,26601,540,0
28650,1623,16226,2170,23
28458,1378,13779,967,16
28377,1699,16991,2215,38
28337,1404,14035,1674,31
28445,1514,15144,1233,18
28315,1423,14232,1897,23
28338,1211,12115,582,9
28609,1442,14418,931,12
28749,NA,NA,0,0
27880,1591,15915,522,1
27954,1160,11600,743,3
28782,861,8615,561,10
27563,926,9262,492,9
28278,1328,13283,4322,21
28512,922,9217,340,6
28526,1275,12752,304,5
27106,1095,10950,5626,65
28604,1039,10389,670,7
28771,1488,14881,1222,24
28129,1585,15851,956,10
28320,1621,16214,1521,32
27203,1584,15839,3465,60
27576,1405,14047,2837,23
28781,1003,10031,96,0
27577,1666,16661,4201,57
27517,550,5501,1586,17
28138,1510,15096,1760,33
27864,1524,15239,735,7
28516,975,9750,1217,8
28435,1180,11805,346,5
27606,967,9675,4638,13
28103,1540,15397,1747,31
27884,1385,13851,214,1
28469,1188,11883,889,19
28556,696,6957,80,1
28584,1149,11487,1483,15
28685,1284,12841,245,0
27212,2569,25688,411,1
27263,1287,12867,2872,46
28906,1370,13697,2780,41
28012,1610,16098,3908,36
27530,1124,11235,4518,89
28642,1456,14557,812,11
27889,1575,15750,4338,80
27958,950,9502,1146,10
27252,808,8083,183,2
27370,1491,14909,2180,38
28396,1269,12691,340,8
27316,1358,13583,972,16
28720,0,0,0,0
27852,1118,11175,386,3
28539,1148,11483,2067,19
28364,1667,16671,2529,41
28613,1636,16359,4125,64
27523,867,8668,1108,2
28789,884,8838,579,5
28212,1452,14517,6205,42
28208,1579,15792,6308,56
27406,1227,12272,7456,123
27524,1566,15659,2119,29
28018,1450,14504,862,28
27298,1233,12328,1287,13
27311,1295,12950,417,4
27103,1146,11464,4135,47
27816,1230,12301,324,4
27376,1202,12019,1188,22
28803,885,8851,3074,59
27817,1287,12871,1001,9
27709,0,0,0,0
27281,981,9811,364,4
27607,898,8978,2720,13
27857,1212,12117,194,8
28147,1901,19012,4982,102
27107,1320,13198,6920,60
28398,1650,16502,1266,24
27610,1617,16175,12002,95
27526,1139,11389,6153,65
28394,1131,11306,689,5
28411,1096,10963,4256,38
27980,1407,14072,292,6
27377,1409,14088,1352,12
28137,1288,12881,495,4
28732,1097,10969,2073,9
27053,973,9728,307,3
28607,1069,10691,4007,22
28555,1440,14398,677,4
28718,774,7743,47,0
27944,1046,10458,1279,8
28684,763,7632,166,1
28740,1187,11870,252,0
28670,1395,13949,444,6
28527,2133,21326,193,2
